"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
2;0,614140724758927;"A. digitata";"Non";"bioclim";"Sans blocs"
3;0,596558361923095;"A. digitata";"Non";"bioclim";"Sans blocs"
4;0,582956940680518;"A. digitata";"Non";"bioclim";"Sans blocs"
5;0,631412621433333;"A. digitata";"Non";"bioclim";"Sans blocs"
1;0,642705865630626;"A. digitata";"Oui";"bioclim";"Sans blocs"
2;0,621752674915239;"A. digitata";"Oui";"bioclim";"Sans blocs"
3;0,648498584742123;"A. digitata";"Oui";"bioclim";"Sans blocs"
4;0,619725797952424;"A. digitata";"Oui";"bioclim";"Sans blocs"
5;0,664235879637875;"A. digitata";"Oui";"bioclim";"Sans blocs"
1;0,502846211272863;"A. nilotica";"Non";"bioclim";"Sans blocs"
2;0,471453182875355;"A. nilotica";"Non";"bioclim";"Sans blocs"
3;0,517667050338153;"A. nilotica";"Non";"bioclim";"Sans blocs"
4;0,510574928050331;"A. nilotica";"Non";"bioclim";"Sans blocs"
5;0,538466097676624;"A. nilotica";"Non";"bioclim";"Sans blocs"
1;0,559812854185755;"A. nilotica";"Oui";"bioclim";"Sans blocs"
2;0,551602205185632;"A. nilotica";"Oui";"bioclim";"Sans blocs"
3;0,631896721992549;"A. nilotica";"Oui";"bioclim";"Sans blocs"
4;0,565089351449033;"A. nilotica";"Oui";"bioclim";"Sans blocs"
5;0,600403034613561;"A. nilotica";"Oui";"bioclim";"Sans blocs"
1;0,563573256742188;"F. albida";"Non";"domain";"Avec blocs"
2;0,614344036841443;"F. albida";"Non";"domain";"Avec blocs"
3;0,588758021039574;"F. albida";"Non";"domain";"Avec blocs"
4;0,591916516070093;"F. albida";"Non";"domain";"Avec blocs"
5;0,619229373921736;"F. albida";"Non";"domain";"Avec blocs"
1;0,63420677963312;"F. albida";"Oui";"domain";"Avec blocs"
2;0,590783090238484;"F. albida";"Oui";"domain";"Avec blocs"
3;0,669412704849598;"F. albida";"Oui";"domain";"Avec blocs"
4;0,613603596938985;"F. albida";"Oui";"domain";"Avec blocs"
5;0,632976733686977;"F. albida";"Oui";"domain";"Avec blocs"
1;0,646599083746206;"B. aegyptiaca";"Non";"domain";"Avec blocs"
2;0,529925891376451;"B. aegyptiaca";"Non";"domain";"Avec blocs"
3;0,406039860782769;"B. aegyptiaca";"Non";"domain";"Avec blocs"
4;0,601279440082951;"B. aegyptiaca";"Non";"domain";"Avec blocs"
5;0,499250551831355;"B. aegyptiaca";"Non";"domain";"Avec blocs"
1;0,64956567437574;"B. aegyptiaca";"Oui";"domain";"Avec blocs"
2;0,630300321310116;"B. aegyptiaca";"Oui";"domain";"Avec blocs"
3;0,498727672708169;"B. aegyptiaca";"Oui";"domain";"Avec blocs"
